λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.879,0.0362,0.2895,0.0239,0.83,7.55,1.476,9.99,0.103,1.0
0.925,0.0361,1.037,0.0261,0.83,7.49,1.476,9.99,0.103,1.0
0.925,0.0144,0.55,0.0102,0.83,6.84,1.476,10.02,0.103,1.0
0.925,0.0361,1.037,0.0261,0.83,7.49,1.476,9.99,0.103,1.0
0.925,0.0361,1.037,0.0261,0.83,7.49,1.476,9.99,0.103,1.0
0.925,0.0361,1.037,0.0261,0.83,7.49,1.476,9.99,0.103,1.0
0.957,0.034,0.305,0.026,0.83,7.43,1.476,9.99,0.103,1.0
0.957,0.034,0.305,0.026,0.83,7.43,1.476,9.99,0.103,1.0
0.957,0.034,0.305,0.026,0.83,7.43,1.476,9.99,0.103,1.0
0.957,0.034,0.305,0.026,0.83,7.43,1.476,9.99,0.103,1.0
