λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
0.895,0.0778,0.55,0.0205,0.875,1.2277,,,,
0.895,0.0778,0.55,0.0205,0.875,1.2277,,,,
0.895,0.0779,0.55,0.0205,0.875,1.2277,,,,
0.895,0.0779,0.55,0.0205,0.875,1.2277,,,,
0.895,0.0779,0.55,0.0205,0.875,1.2277,,,,
0.895,0.0779,0.55,0.0205,0.875,1.2276,,,,
0.895,0.0777,0.55,0.0206,0.875,1.2274,,,,
0.895,0.0776,0.55,0.0206,0.875,1.227,,,,
0.895,0.0775,0.55,0.0207,0.875,1.2269,,,,
0.895,0.0774,0.55,0.0208,0.875,1.2265,,,,
0.895,0.0772,0.55,0.0209,0.875,1.2264,,,,
0.895,0.0771,0.55,0.021,0.875,1.2263,,,,
0.895,0.0769,0.55,0.021,0.875,1.2263,,,,
0.895,0.0768,0.55,0.021,0.875,1.2262,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0765,0.55,0.0211,0.875,1.2261,,,,
0.895,0.0764,0.55,0.0211,0.875,1.2255,,,,
0.895,0.0766,0.55,0.0211,0.875,1.2271,,,,
0.895,0.0766,0.55,0.021,0.875,1.2261,,,,
0.895,0.0767,0.55,0.021,0.875,1.2262,,,,
0.895,0.0766,0.55,0.021,0.875,1.2262,,,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2261,1.4,NaN,,
0.895,0.0765,0.55,0.021,0.875,1.2261,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.0766,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,NaN,,
0.895,0.0766,0.55,0.021,0.875,1.2262,1.4,1.184294413,,
0.895,0.0739,0.55,0.0215,0.875,1.234,1.35,1.193536092,,
0.895,0.0737,0.55,0.0215,0.875,1.23,1.35,1.19,,
0.895,0.0737,0.55,0.0215,0.875,1.23,1.35,1.19,,
0.895,0.075,0.55,0.022,0.875,1.23,1.35,1.19,,
0.895,0.0785,0.55,0.023,0.875,1.24,1.35,1.2,,
0.895,0.1132,0.55,0.0339,0.875,1.25,1.35,NaN,,
0.895,0.0785,0.55,0.023,0.875,1.24,1.35,1.2,,
0.895,0.0859,0.55,0.0254,0.875,1.24,1.35,1.2,,
0.895,0.0938,0.55,0.028,0.875,1.24,1.35,1.2,,
0.895,0.1032,0.55,0.0308,0.875,1.25,1.35,NaN,,
0.895,0.1031,0.55,0.0308,0.875,1.25,1.35,1.25,,
0.895,0.1132,0.55,0.0339,0.875,1.25,1.35,1.25,,
0.895,0.1091,0.55,0.0344,0.875,1.26,1.3,1.27,,
0.895,0.0999,0.55,0.0353,0.875,1.28,1.2,1.3,,
0.895,0.0999,0.55,0.0353,0.875,1.28,1.2,1.3,,
0.895,0.109,0.55,0.0389,0.875,1.29,1.2,1.31,,
0.895,0.0934,0.53,0.033,0.875,1.28,1.2,1.31,,
0.895,0.0799,0.51,0.0278,0.875,1.28,1.2,1.31,,
0.895,0.0677,0.49,0.0233,0.875,1.28,1.2,1.31,,
0.895,0.0678,0.49,0.0232,0.875,1.28,1.19,1.31,,
0.895,0.0676,0.49,0.0231,0.875,1.28,1.18,1.31,,
0.895,0.0746,0.49,0.0256,0.875,1.29,1.18,1.32,,
0.895,0.0908,0.49,0.032,0.875,1.3,1.18,1.33,,
0.895,0.0908,0.49,0.032,0.875,1.3,1.18,1.33,,
0.895,0.0908,0.49,0.032,0.875,1.3,1.18,1.33,,
0.895,0.0908,0.49,0.032,0.875,1.3,1.18,1.33,0.19,
0.895,0.1008,0.49,0.0356,0.875,1.31,1.18,1.34,0.2,
0.895,0.0959,0.47,0.0337,0.875,1.31,1.18,1.34,0.21,
0.895,0.0949,0.44,0.0332,0.875,1.32,1.18,1.35,0.23,
0.895,0.0954,0.41,0.0332,0.875,1.33,1.18,1.36,0.25,
0.895,0.0899,0.37,0.0311,0.875,1.33,1.18,1.38,0.27,
0.895,0.0863,0.33,0.0296,0.875,1.34,1.18,1.39,0.29,
0.895,0.0845,0.29,0.0288,0.875,1.35,1.18,1.4,0.31,
0.895,0.0982,0.29,0.0335,0.87,1.35,1.18,1.4,0.31,
0.895,0.0896,0.28,0.0305,0.87,1.35,1.18,1.4,0.31,
0.895,0.09,0.28,0.0305,0.87,1.35,1.19,1.39,0.31,
0.895,0.0897,0.28,0.0304,0.87,1.35,1.18,1.4,0.31,
0.895,0.0897,0.28,0.0304,0.87,1.35,1.18,1.4,0.31,
0.895,0.0897,0.28,0.0304,0.87,1.35,1.18,1.0,0.31,
0.895,0.0897,0.28,0.0304,0.87,1.35,1.18,1.4,0.31,
0.895,0.0897,0.28,0.0304,0.87,1.35,1.18,1.4,0.31,
0.895,0.0897,0.28,0.0303,0.87,1.35,1.18,1.4,0.31,
0.895,0.0898,0.28,0.0304,0.87,1.35,1.18,1.4,0.31,
0.895,0.0898,0.28,0.0303,0.87,1.35,1.18,1.4,0.31,
0.895,0.1035,0.28,0.0351,0.865,1.35,1.18,1.4,0.31,
0.895,0.1035,0.28,0.0351,0.865,1.35,1.18,1.4,0.31,
0.895,0.1035,0.28,0.0351,0.865,1.35,1.18,1.4,0.31,
0.895,0.1035,0.28,0.0351,0.865,1.35,1.18,1.4,0.31,
0.895,0.086,0.26,0.0287,0.865,1.35,1.18,1.4,0.31,
0.895,0.0781,0.25,0.0258,0.865,1.35,1.18,1.39,0.31,
0.895,0.0781,0.25,0.0258,0.865,1.35,1.18,1.39,0.31,
0.895,0.0706,0.24,0.0231,0.865,1.34,1.18,1.39,0.31,
0.895,0.0635,0.23,0.0206,0.865,1.34,1.18,1.38,0.31,
0.895,0.0772,0.23,0.0254,0.865,1.35,1.18,1.4,0.32,
0.895,0.0892,0.23,0.0295,0.86,1.35,1.18,1.41,0.32,
0.895,0.1022,0.23,0.034,0.855,1.35,1.18,1.41,0.32,
0.895,0.1023,0.23,0.034,0.855,1.35,1.18,1.41,0.32,
0.895,0.1023,0.23,0.034,0.855,1.35,1.18,1.41,0.32,
0.895,0.1023,0.23,0.034,0.855,1.35,1.18,1.0,0.32,
0.895,0.1023,0.23,0.034,0.855,1.35,1.18,1.41,0.32,
0.895,0.1023,0.23,0.034,0.855,1.35,1.18,1.41,0.32,
0.895,0.1023,0.23,0.034,0.855,NaN,1.18,NaN,0.32,
0.895,0.1159,0.23,0.0392,0.85,NaN,1.18,NaN,0.32,
0.895,0.1159,0.23,0.0391,0.85,NaN,1.18,NaN,0.32,
0.895,0.1064,0.23,0.0333,0.855,NaN,1.18,NaN,0.32,
0.895,0.1064,0.23,0.0332,0.855,1.33,1.18,1.35,0.32,
0.895,0.1063,0.23,0.0334,0.855,1.33,1.18,1.35,0.32,
0.895,0.1062,0.23,0.0333,0.855,1.33,1.18,1.35,0.32,
0.895,0.1062,0.23,0.0333,0.855,1.33,1.18,1.35,0.32,
0.895,0.1021,0.23,0.0336,0.855,1.35,1.18,1.37,0.32,
0.895,0.1015,0.23,0.0335,0.855,1.35,1.18,1.37,0.32,
0.895,0.1016,0.23,0.0334,0.855,1.35,1.18,1.38,0.32,
0.895,0.1017,0.23,0.0332,0.855,1.35,1.18,1.38,0.32,
0.895,0.1022,0.23,0.033,0.855,1.35,1.18,1.38,0.32,
0.895,0.1021,0.23,0.0329,0.855,1.36,1.18,1.38,0.32,
0.895,0.1022,0.23,0.0327,0.855,1.36,1.18,1.38,0.32,
0.895,0.1021,0.23,0.0334,0.855,1.36,1.18,1.39,0.32,
0.895,0.1021,0.23,0.0329,0.855,1.36,1.18,1.39,0.32,
0.895,0.1022,0.23,0.0328,0.855,1.36,1.18,1.39,0.32,
0.895,0.1022,0.23,0.0327,0.855,1.36,1.18,1.39,0.32,
0.895,0.1022,0.23,0.0326,0.855,1.36,1.18,1.39,0.32,
0.895,0.1023,0.23,0.0326,0.855,1.36,1.18,1.39,0.32,
0.895,0.1023,0.23,0.0325,0.855,1.36,1.18,1.39,0.32,
0.895,0.1024,0.23,0.0325,0.855,1.36,1.18,1.39,0.32,
0.895,0.1026,0.23,0.0323,0.855,1.36,1.18,1.39,0.32,
0.895,0.1028,0.23,0.0321,0.855,1.36,1.18,1.39,0.32,
0.895,0.1024,0.23,0.0323,0.855,1.37,1.18,1.39,0.32,
0.895,0.1024,0.23,0.0321,0.855,1.37,1.18,1.39,0.32,
0.895,0.1025,0.23,0.032,0.855,1.37,1.18,1.39,0.32,
0.895,0.1025,0.23,0.032,0.855,1.37,1.18,1.39,0.32,
0.895,0.1026,0.23,0.032,0.855,1.37,1.18,1.39,0.32,
0.895,0.1028,0.23,0.0319,0.855,1.37,1.18,1.39,0.32,
0.895,0.1029,0.23,0.0317,0.855,1.37,1.18,1.39,0.32,
0.895,0.103,0.23,0.0317,0.855,1.37,1.18,1.39,0.32,
0.895,0.103,0.23,0.0316,0.855,1.37,1.18,1.39,0.32,
0.895,0.1035,0.23,0.0314,0.855,1.37,1.18,1.4,0.32,
0.895,0.103,0.23,0.0317,0.855,1.37,1.18,1.39,0.32,
0.895,0.103,0.23,0.0316,0.855,1.37,1.18,1.39,0.32,
0.895,0.103,0.23,0.0316,0.855,1.37,1.18,1.39,0.32,
0.895,0.103,0.23,0.0317,0.855,1.37,1.18,1.39,0.32,
0.895,0.1035,0.23,0.0314,0.855,1.37,1.18,1.39,0.32,
0.895,0.1035,0.23,0.0315,0.855,1.37,1.18,1.39,0.32,
0.895,0.1035,0.23,0.0314,0.855,1.37,1.18,1.39,0.32,
0.895,0.1038,0.23,0.0312,0.855,1.37,1.18,1.39,0.32,
0.895,0.1039,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.104,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.104,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.104,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.104,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.1041,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.1042,0.23,0.0308,0.855,1.37,1.18,1.39,0.32,
0.895,0.1044,0.23,0.031,0.855,1.37,1.18,1.39,0.32,
0.895,0.1045,0.23,0.0311,0.855,1.37,1.18,1.39,0.32,
0.895,0.1045,0.23,0.0309,0.855,1.37,1.18,1.39,0.32,
0.895,0.1046,0.23,0.0308,0.855,1.37,1.18,1.39,0.32,
0.895,0.1046,0.23,0.0309,0.855,1.37,1.18,1.39,0.32,
0.895,0.1045,0.23,0.0309,0.855,1.37,1.18,1.39,0.32,
0.895,0.1045,0.23,0.0309,0.855,1.37,1.18,1.39,0.32,
0.895,0.1047,0.23,0.0306,0.855,1.37,1.18,1.39,0.32,
0.895,0.1049,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1048,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1048,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1048,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1048,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1048,0.23,0.0307,0.855,1.37,1.18,1.39,0.32,
0.895,0.1045,0.23,0.0305,0.855,1.37,1.17,1.4,0.32,
0.895,0.0978,0.23,0.0311,0.855,1.4,1.1,1.43,0.32,
0.895,0.1412,0.23,0.0457,0.84,1.38,1.1,1.42,0.32,
0.895,0.1413,0.23,0.0457,0.84,1.38,1.1,1.42,0.32,
0.895,0.1412,0.23,0.0457,0.84,1.38,1.1,1.42,0.32,
0.895,0.1412,0.23,0.0456,0.84,1.38,1.1,1.43,0.32,
0.895,0.1413,0.23,0.0454,0.84,1.38,1.1,1.43,0.32,
0.895,0.1415,0.23,0.0452,0.84,1.38,1.1,1.43,0.32,
0.895,0.1415,0.23,0.0451,0.84,1.38,1.1,1.43,0.32,
0.895,0.1418,0.23,0.0449,0.84,1.38,1.1,1.43,0.32,
0.895,0.1419,0.23,0.0449,0.84,1.38,1.1,1.43,0.32,
0.895,0.142,0.23,0.0448,0.84,1.38,1.1,1.43,0.32,
0.895,0.1423,0.23,0.0449,0.84,1.38,1.1,1.43,0.32,
0.895,0.1776,0.23,0.0567,0.83,1.37,1.1,1.43,0.32,
0.895,0.2177,0.23,0.0706,0.82,1.37,1.1,1.42,0.32,
0.895,0.2179,0.23,0.0707,0.82,1.37,1.1,1.42,0.32,
0.895,0.2004,0.22,0.0642,0.82,1.37,1.1,1.43,0.32,
0.895,0.2006,0.22,0.0639,0.82,1.37,1.1,1.42,0.32,
0.895,0.2009,0.22,0.0637,0.82,1.37,1.1,1.42,0.32,
0.895,0.201,0.22,0.0639,0.82,1.37,1.1,1.42,0.32,
0.895,0.2014,0.22,0.0638,0.82,1.37,1.1,1.42,0.32,
0.895,0.2023,0.22,0.0634,0.82,1.37,1.1,1.42,0.32,
0.895,0.2127,0.22,0.0629,0.82,1.35,1.15,1.4,0.32,
0.895,0.1105,0.22,0.0302,0.82,1.34,1.15,1.38,0.28,
0.895,0.0845,0.22,0.0207,0.82,1.33,1.19,1.35,0.26,
0.895,0.0642,0.22,0.0143,0.82,1.31,1.22,1.33,0.24,
0.895,0.0497,0.22,0.0101,0.82,1.29,1.25,1.32,0.22,
0.895,0.0372,0.22,0.0072,0.82,1.28,1.28,1.3,0.2,
0.895,0.0362,0.24,0.0069,0.82,1.26,1.31,1.28,0.18,
0.895,0.0403,0.27,0.0077,0.82,1.25,1.34,1.27,0.16,
0.895,0.0445,0.3,0.0085,0.82,1.24,1.37,1.26,0.14,
0.895,0.0485,0.33,0.0094,0.82,1.24,1.34,1.26,0.12,
0.895,0.0495,0.35,0.0095,0.82,1.23,1.37,1.24,0.1,
0.895,0.0672,0.38,0.0133,0.82,1.23,1.4,1.24,0.1,
0.895,0.0698,0.38,0.0127,0.82,1.22,1.45,1.23,0.1,
0.895,0.07,0.38,0.0126,0.82,1.22,1.475,1.23,0.1,
0.895,0.0857,0.4,0.0153,0.82,1.22,1.5,1.22,0.1,
0.895,0.0858,0.4,0.0154,0.82,1.22,1.5,1.22,0.1,
0.895,0.0852,0.4,0.0156,0.82,1.22,1.5,1.22,0.1,
0.895,0.0675,0.4,0.0202,0.82,1.26,1.5,1.28,0.1,0.11
0.895,0.0606,0.4,0.0217,0.82,1.29,1.5,1.31,0.1,0.12
0.895,0.0543,0.4,0.0229,0.82,1.31,1.5,1.34,0.1,0.13
0.895,0.0497,0.4,0.0234,0.82,1.34,1.5,1.37,0.1,0.14
0.895,0.0464,0.4,0.0232,0.82,1.36,1.5,1.4,0.1,0.15
0.895,0.0432,0.4,0.0232,0.82,1.39,1.5,1.43,0.1,0.16
0.895,0.0406,0.4,0.0229,0.82,1.42,1.5,1.47,0.1,0.17
0.895,0.0383,0.4,0.0223,0.82,1.44,1.5,1.5,0.1,0.18
0.895,0.034,0.4,0.0214,0.82,1.5,1.5,1.57,0.1,0.2
0.895,0.0305,0.4,0.0203,0.82,1.56,1.5,1.64,0.1,0.22
0.895,0.0262,0.4,0.0194,0.82,1.65,1.5,1.76,0.1,0.25
0.895,0.023,0.4,0.0181,0.82,1.75,1.5,1.88,0.1,0.28
0.895,0.0191,0.4,0.0163,0.82,1.89,1.5,2.06,0.1,0.32
0.895,0.0161,0.4,0.0144,0.82,2.04,1.5,2.25,0.1,0.36
0.895,0.0138,0.4,0.0126,0.82,2.2,1.5,2.47,0.1,0.4
0.895,0.0119,0.4,0.0112,0.82,2.37,1.5,2.7,0.1,0.44
0.895,0.0105,0.4,0.0101,0.82,2.56,1.5,2.96,0.1,0.48
0.895,0.0093,0.4,0.0092,0.82,2.76,1.5,3.24,0.1,0.52
0.895,0.0121,0.45,0.0118,0.82,2.78,1.5,3.23,0.1,0.52
0.895,0.0121,0.45,0.0118,0.82,2.78,1.5,3.23,0.1,0.52
0.895,0.0119,0.45,0.0115,0.82,2.77,1.5,3.24,0.1,0.52
0.895,0.0116,0.45,0.0113,0.82,2.76,1.5,3.24,0.1,0.52
0.895,0.0145,0.5,0.0142,0.82,2.78,1.5,3.24,0.1,0.52
0.895,0.0179,0.55,0.0176,0.82,2.79,1.5,3.24,0.1,0.52
0.895,0.0217,0.6,0.0213,0.82,2.81,1.5,3.23,0.1,0.52
0.895,0.026,0.65,0.0254,0.82,2.81,1.5,3.23,0.1,0.52
0.895,0.0305,0.7,0.0298,0.82,2.81,1.5,3.23,0.1,0.52
0.86,0.0342,0.7,0.0292,0.82,2.82,1.5,3.23,0.1,0.52
0.83,0.0377,0.7,0.0286,0.82,2.83,1.5,3.23,0.1,0.52
0.8,0.0416,0.7,0.028,0.82,2.85,1.5,3.23,0.1,0.52
0.8,0.0396,0.7,0.0277,0.82,2.84,1.5,3.23,0.1,0.52
0.8,0.0389,0.7,0.0273,0.82,2.84,1.5,3.23,0.1,0.52
0.75,0.0463,0.7,0.0262,0.82,2.88,1.5,3.23,0.1,0.52
0.75,0.0462,0.7,0.0261,0.82,2.88,1.5,3.23,0.1,0.52
0.75,0.046,0.7,0.026,0.82,2.88,1.5,3.23,0.1,0.52
0.75,0.046,0.7,0.026,0.82,2.88,1.5,3.23,0.1,0.52
0.75,0.0424,0.7,0.0245,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0408,0.7,0.0234,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0406,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0233,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0405,0.7,0.0232,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0404,0.7,0.0232,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0404,0.7,0.0232,0.82,2.93,1.5,3.3,0.1,0.53
0.75,0.0378,0.7,0.022,0.82,2.99,1.5,3.38,0.1,0.54
0.75,0.0378,0.7,0.022,0.82,2.99,1.5,3.38,0.1,0.54
0.75,0.0343,0.7,0.0205,0.82,3.1,1.5,3.54,0.1,0.56
0.7,0.0411,0.7,0.0197,0.82,3.16,1.5,3.54,0.1,0.56
0.7,0.0475,0.75,0.0228,0.82,3.16,1.5,3.53,0.1,0.56
0.7,0.0423,0.75,0.0209,0.82,3.28,1.5,3.7,0.1,0.58
0.7,0.0393,0.76,0.02,0.82,3.41,1.5,3.87,0.1,0.6
0.7,0.0339,0.76,0.0181,0.82,3.61,1.5,4.14,0.1,0.63
0.7,0.0328,0.8,0.0182,0.82,3.82,1.5,4.43,0.1,0.66
0.69,0.0312,0.82,0.0173,0.82,4.06,1.5,4.75,0.1,0.69
0.69,0.0275,0.84,0.0159,0.83,4.34,1.5,5.08,0.1,0.72
0.69,0.0244,0.84,0.0146,0.83,4.59,1.5,5.44,0.1,0.75
0.69,0.0245,0.84,0.0145,0.83,4.59,1.5,5.44,0.1,0.75
0.69,0.0222,0.84,0.0136,0.83,4.85,1.5,5.82,0.1,0.78
0.69,0.0199,0.84,0.0125,0.83,5.12,1.5,6.23,0.1,0.81
0.69,0.018,0.84,0.0116,0.83,5.41,1.5,6.67,0.1,0.84
0.69,0.0163,0.84,0.0108,0.83,5.71,1.5,7.14,0.1,0.87
0.69,0.0149,0.84,0.0101,0.83,6.02,1.5,7.65,0.1,0.9
0.69,0.0137,0.84,0.0095,0.83,6.39,1.5,8.24,0.1,0.93
0.69,0.0125,0.84,0.0088,0.83,6.79,1.5,8.9,0.1,0.97
0.69,0.0115,0.84,0.0083,0.83,7.2,1.5,9.59,0.1,1.0
0.69,0.0127,0.9,0.0092,0.83,7.24,1.5,9.59,0.1,1.0
0.69,0.0163,1.1,0.0119,0.83,7.54,1.476,9.94,0.103,1.0
0.66,0.0249,1.4,0.0168,0.83,7.74,1.476,9.93,0.103,1.0
0.63,0.0357,1.7,0.0223,0.83,7.87,1.476,9.91,0.103,1.0
0.6,0.0386,1.7,0.0222,0.83,7.97,1.476,9.9,0.103,1.0
0.55,0.0445,1.7,0.0219,0.83,8.17,1.476,9.89,0.103,1.0
