λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
0.879,0.0351,0.2895,0.0231,0.83,7.53,1.476,9.99,0.103,1.0
0.879,0.0342,0.3,0.0225,0.83,7.52,1.476,10.0,0.103,1.0
0.879,0.0374,0.32,0.0247,0.83,7.56,1.476,9.99,0.103,1.0
0.879,0.0364,0.314,0.024,0.83,7.55,1.476,9.99,0.103,1.0
0.881,0.0363,0.314,0.024,0.83,7.55,1.476,9.99,0.103,1.0
0.887,0.0359,0.314,0.0241,0.83,7.53,1.476,9.99,0.103,1.0
0.886,0.0359,0.314,0.0241,0.83,7.53,1.476,9.99,0.103,1.0
0.885,0.036,0.314,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.885,0.036,0.314,0.024,0.83,7.54,1.476,9.99,0.103,1.0
0.885,0.036,0.314,0.024,0.83,7.54,1.476,9.99,0.103,1.0
