λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
1.034,0.0347,0.19,0.0122,0.83,8.04,1.476,9.9,0.103,1.0
1.034,0.0342,0.188,0.012,0.83,8.02,1.476,9.9,0.103,1.0
1.035,0.0341,0.188,0.0121,0.83,8.02,1.476,9.9,0.103,1.0
1.035,0.0338,0.187,0.012,0.83,8.01,1.476,9.9,0.103,1.0
1.034,0.0338,0.187,0.012,0.83,8.02,1.476,9.9,0.103,1.0
1.033,0.0339,0.187,0.012,0.83,8.02,1.476,9.9,0.103,1.0
1.032,0.0339,0.187,0.0119,0.83,8.02,1.476,9.9,0.103,1.0
1.032,0.0342,0.188,0.012,0.83,8.03,1.476,9.9,0.103,1.0
1.034,0.0341,0.188,0.0121,0.83,8.02,1.476,9.9,0.103,1.0
1.034,0.0341,0.188,0.0121,0.83,8.02,1.476,9.9,0.103,1.0
1.034,0.0341,0.188,0.0121,0.83,8.02,1.476,9.9,0.103,1.0
