year,group,cohort,occ_code,num,occ_income,occ_grade,occ_wage,occ_ln_income_arith,occ_ln_income_geo,occ_ln_wage_arith,occ_ln_wage_geo,occ_var_ln_income,occ_var_ln_wage
2012,0,0,0,2.43e+07,,12.60451,,,,,,,
2012,0,0,1,8273344,87932.08,15.10609,,11.38432,11.12049,,,.5156403,
2012,0,0,2,4476900,72815.55,15.21636,,11.19568,10.97021,,,.4036627,
2012,0,0,3,98354.5,79349.78,16.80791,,11.28162,11.10022,,,.3669707,
2012,0,0,4,1025393,89623.73,16.16874,,11.40338,11.29351,,,.2222584,
2012,0,0,5,1464091,72733.02,15.08176,,11.19455,11.04965,,,.2911296,
2012,0,0,6,357380,75902.41,17.58427,,11.2372,11.0679,,,.3278893,
2012,0,0,7,651013.5,180243.6,18.87854,,12.10206,11.79364,,,.7018085,
2012,0,0,8,1897522,67706.96,15.5993,,11.12294,11.0093,,,.232181,
2012,0,0,9,590032.5,64543.12,16.83092,,11.07509,10.94292,,,.2644637,
2012,0,0,10,619180.5,63953.65,18.14641,,11.06591,10.87838,,,.3796439,
2012,0,0,11,4566223,45820.77,16.5598,,10.73249,10.60475,,,.2856361,
2012,0,0,12,101431,49201.66,17.55922,,10.80368,10.70103,,,.2204067,
2012,0,0,13,320197.5,81328.25,17.11118,,11.30625,11.09848,,,.3953408,
2012,0,0,14,916874.5,43672.38,16.05845,,10.68447,10.5659,,,.248193,
2012,0,0,15,658540,149727.3,18.82818,,11.91657,11.64655,,,.565963,
2012,0,0,16,1287228,59985.2,15.24686,,11.00185,10.74205,,,.5387694,
2012,0,0,17,1190529,47796.91,13.82313,,10.77472,10.64481,,,.2538778,
2012,0,0,18,478199.5,55112.96,13.79415,,10.91714,10.80381,,,.2371362,
2012,0,0,19,85583.5,55794.55,13.98245,,10.92943,10.78968,,,.2682194,
2012,0,0,20,1335764,79238.21,15.27382,,11.28021,11.11537,,,.3412647,
2012,0,0,21,7562133,60123.04,13.75586,,11.00415,10.66552,,,.6329027,
2012,0,0,22,2009961,37029.63,13.40199,,10.51947,10.40926,,,.2212258,
2012,0,0,23,790160.5,32559.76,13.25036,,10.39083,10.25234,,,.2520833,
2012,0,0,24,371836.5,36715.58,13.53769,,10.51096,10.39007,,,.2379797,
2012,0,0,25,1097183,38673.34,13.2444,,10.56291,10.44221,,,.2223183,
2012,0,0,26,57907.5,44642.06,12.91589,,10.70643,10.61967,,,.1924711,
2012,0,0,27,114380.5,44143.33,13.4875,,10.6952,10.52671,,,.3175336,
2012,0,0,28,430711.5,47764.79,12.8713,,10.77404,10.66755,,,.2406766,
2012,0,0,29,1562271,38126.19,12.77831,,10.54866,10.39001,,,.300828,
2012,0,0,30,1901017,40551.62,13.62378,,10.61033,10.46121,,,.2825895,
2012,0,0,31,1392128,37449.09,13.51574,,10.53074,10.39873,,,.2427866,
2012,0,0,32,613923,20948.08,11.13902,,9.949802,9.803452,,,.2796236,
2012,0,0,33,274041.5,69138.25,13.66261,,11.14386,11.04615,,,.2113333,
2012,0,0,34,1140969,61866.49,13.98769,,11.03273,10.91511,,,.2508093,
2012,0,0,35,579476,40259.7,13.10105,,10.60311,10.42241,,,.3534861,
2012,0,0,36,2875830,24288.49,12.24045,,10.09776,9.937634,,,.2989775,
2012,0,0,37,2225338,28465.92,12.70372,,10.25646,10.11837,,,.2617748,
2012,0,0,38,1267356,31934.18,11.81985,,10.37143,10.20712,,,.3221002,
2012,0,0,39,1717567,31209.15,13.23329,,10.34847,10.12473,,,.4713281,
2012,0,0,40,307038.5,57931.21,12.84802,,10.96701,10.53441,,,.8876622,
2012,0,0,41,383405,27899.21,10.10407,,10.23635,10.06792,,,.3135823,
2012,0,0,42,839234.5,31805.21,11.5069,,10.36739,10.15941,,,.3976451,
2012,0,0,43,102209,41605.33,11.78167,,10.63598,10.43603,,,.3901965,
2012,0,0,44,1538380,47647.89,12.35885,,10.77159,10.63101,,,.3071829,
2012,0,0,45,690221.5,50125.07,12.9013,,10.82228,10.69271,,,.27828,
2012,0,0,46,583739.5,47037.16,12.47538,,10.75869,10.61503,,,.3094603,
2012,0,0,47,4085566,45965.55,11.88478,,10.73565,10.54724,,,.3918113,
2012,0,0,48,127704,59597.79,11.96804,,10.99537,10.85118,,,.3135754,
2012,0,0,49,567005,57491.37,12.85987,,10.95939,10.81545,,,.2812645,
2012,0,0,50,269257.5,47688.91,12.39742,,10.77245,10.66747,,,.2247857,
2012,0,0,51,42997,36385.57,12.04021,,10.50193,10.35397,,,.3055641,
2012,0,0,52,48263,33076.83,12.09329,,10.40659,10.1455,,,.4613346,
2012,0,0,53,402175.5,35853.35,13.22681,,10.48719,10.36219,,,.2312362,
2012,0,0,54,275838,29656.92,11.5014,,10.29745,10.16441,,,.2717963,
2012,0,0,55,168110.5,60604.48,12.92937,,11.01212,10.88045,,,.2799187,
2012,0,0,56,104481.5,36332.5,11.86108,,10.50047,10.38256,,,.2419259,
2012,0,0,57,37003.5,38014.28,11.9926,,10.54572,10.43234,,,.23552,
2012,0,0,58,263584.5,36429.5,11.82525,,10.50313,10.38785,,,.2410284,
2012,0,0,59,140384,39271.25,12.36727,,10.57825,10.46824,,,.2297021,
2012,0,0,60,218167,25710.15,11.19598,,10.15464,9.999221,,,.2854372,
2012,0,0,61,1174708,38182.94,11.88037,,10.55014,10.39672,,,.3132713,
2012,0,0,62,950428.5,38034.9,11.93298,,10.54626,10.40716,,,.2851916,
2012,0,0,63,410156,44075.84,12.80396,,10.69367,10.5434,,,.3069217,
2012,0,0,64,2738068,41820.52,12.15391,,10.64114,10.47814,,,.3274587,
2012,0,0,65,424067.5,53930.7,12.16581,,10.89546,10.74695,,,.3129348,
2012,0,0,66,1445890,32354.13,11.76127,,10.3845,10.2261,,,.3114457,
2012,1,0,0,6297326,,13.67917,,,,,,,
2012,1,0,1,4580216,102302.2,15.16166,41.7336,11.53569,11.26749,3.731307,3.476757,.5337078,.5118353
2012,1,0,2,1743535,93056.95,15.73848,39.60057,11.44097,11.18574,3.678843,3.449966,.4699421,.4281208
2012,1,0,3,69935.5,84887.48,16.93793,36.48323,11.34908,11.16355,3.596853,3.426198,.3768626,.3584034
2012,1,0,4,851571.5,91434.49,16.17354,40.22709,11.42338,11.31573,3.694541,3.588429,.216529,.2180939
2012,1,0,5,926002.5,76625.95,15.2035,34.28503,11.24669,11.09855,3.534709,3.398078,.2963718,.2783099
2012,1,0,6,203763.5,82285.78,17.6764,36.43518,11.31795,11.13521,3.595535,3.417962,.3527919,.3555772
2012,1,0,7,372449.5,207090.7,19.08961,81.66802,12.24091,11.95326,4.402663,4.097183,.6895434,.7423088
2012,1,0,8,203699.5,90590.2,16.43326,42.20085,11.4141,11.25523,3.74244,3.592762,.3127307,.2991684
2012,1,0,9,120082,80627.38,16.99584,36.65351,11.29759,11.12498,3.601509,3.442184,.3407373,.312764
2012,1,0,10,285904.5,70105.46,19.34132,30.15245,11.15776,10.94657,3.406266,3.210515,.4197254,.3986911
2012,1,0,11,907750.5,54555.45,17.28667,24.53861,10.90697,10.80045,3.200248,3.091255,.2251015,.2245646
2012,1,0,12,20788.5,55828.44,18.17832,26.21445,10.93004,10.80567,3.266311,3.160716,.2532208,.2210798
2012,1,0,13,118939.5,97748.55,17.25708,41.65555,11.49015,11.26136,3.729435,3.526166,.4403372,.3991205
2012,1,0,14,290596.5,47052.89,16.62727,20.5527,10.75903,10.62786,3.022992,2.892224,.2769744,.2774824
2012,1,0,15,382698.5,168279.9,19.04376,65.7271,12.03338,11.76523,4.185511,3.937375,.5794404,.5356439
2012,1,0,16,662700,67029.24,15.79691,29.30537,11.11288,10.84903,3.377771,3.133211,.5305644,.499261
2012,1,0,17,242598.5,58204.34,14.40837,25.93503,10.97171,10.81907,3.255594,3.102678,.2850003,.2873968
2012,1,0,18,346083.5,57445.16,13.85167,26.23158,10.95859,10.85195,3.266964,3.164522,.2234297,.218527
2012,1,0,19,49890.5,59097.39,14.00006,26.44995,10.98694,10.84634,3.275254,3.139155,.2636276,.2602209
2012,1,0,20,812002.5,90345.64,15.75665,40.4346,11.4114,11.2611,3.699686,3.553138,.3167841,.3111317
2012,1,0,21,3870196,73958.81,14.26186,30.88811,11.21126,10.88904,3.430371,3.134964,.6070616,.5550204
2012,1,0,22,81809.5,48223.2,14.66695,22.09787,10.7836,10.61119,3.095481,2.945737,.313346,.2777715
2012,1,0,23,103514.5,45489.27,14.48287,20.50901,10.72523,10.48414,3.020864,2.822687,.4241262,.3651561
2012,1,0,24,68423,43241.22,14.40292,20.08777,10.67455,10.5117,3.000111,2.855549,.3096139,.2820835
2012,1,0,25,107448,52440.38,14.40418,23.6428,10.86743,10.65305,3.163059,2.976045,.368765,.3378792
2012,1,0,26,19237,47065.71,13.29298,22.38886,10.7593,10.67136,3.108563,3.028064,.1935036,.17443
2012,1,0,27,41452,56222.91,14.12981,26.0136,10.93708,10.7677,3.25862,3.102707,.3278829,.312331
2012,1,0,28,214769.5,50928.11,13.2104,23.04628,10.83817,10.72774,3.137504,3.039207,.2436712,.2232313
2012,1,0,29,778338,41567.53,13.16398,18.96917,10.63507,10.46472,2.942815,2.796175,.3194399,.2754594
2012,1,0,30,473331.5,49933.32,14.33403,22.62278,10.81844,10.62399,3.118957,2.949251,.3671135,.3245381
2012,1,0,31,211919,50373.23,14.54761,22.94457,10.82722,10.60482,3.133081,2.938648,.3884615,.3430797
2012,1,0,32,48538.5,25941.44,11.91209,12.60756,10.1636,10.02168,2.534297,2.404211,.2666885,.2520182
2012,1,0,33,241214,69950.13,13.69698,26.62823,11.15554,11.05916,3.281972,3.170361,.2085338,.2382266
2012,1,0,34,783673,65288.85,13.99862,29.44102,11.08658,10.97795,3.382389,3.276435,.2306754,.2269555
2012,1,0,35,292014.5,43125.02,13.62443,19.79601,10.67186,10.48976,2.985481,2.823619,.3551439,.3168266
2012,1,0,36,1104650,27904.32,13.08601,13.078,10.23654,10.06771,2.570931,2.428573,.3143416,.2715905
2012,1,0,37,181069.5,38163.63,14.06112,17.66192,10.54964,10.32227,2.871411,2.662645,.3859517,.3654517
2012,1,0,38,726162.5,36141.24,12.44971,16.89375,10.49519,10.33556,2.826944,2.681406,.3131305,.2875718
2012,1,0,39,295048,42509.48,14.20112,19.52409,10.65748,10.44502,2.971649,2.772839,.4328271,.4144479
2012,1,0,40,262522.5,60626.02,12.91712,21.73134,11.01248,10.59582,3.078755,2.643748,.8426321,.8939898
2012,1,0,41,290203.5,28687.83,10.16754,12.06252,10.26423,10.11106,2.490103,2.339394,.2892574,.284722
2012,1,0,42,652270,33127.98,11.77998,15.03506,10.40813,10.19687,2.710385,2.521832,.4024324,.3688452
2012,1,0,43,89857,42753.59,11.89344,17.62788,10.66321,10.4601,2.869482,2.668178,.3966924,.4040367
2012,1,0,44,1381467,48056.96,12.4293,21.23267,10.78014,10.63956,3.055541,2.920223,.3077789,.301269
2012,1,0,45,583325,50512.05,13.02157,23.16484,10.82997,10.7023,3.142636,3.018269,.2745568,.2704138
2012,1,0,46,502535.5,48030.74,12.60491,21.85892,10.7796,10.638,3.084609,2.949003,.3043121,.2945783
2012,1,0,47,3720166,46490.7,12.16656,21.22972,10.74701,10.55957,3.055402,2.880642,.3889969,.3683235
2012,1,0,48,118145,60457.52,11.99218,22.78594,11.0097,10.86737,3.126144,2.983644,.3097008,.3083175
